Page,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-12,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-05,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-12,2015-09-13,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-19,2015-09-20,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-26,2015-09-27,2015-09-28,2015-09-29,2015-09-30,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-07,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10
安倍晴明_zh.wikipedia.org_all-access_spider,3,1,14,8,3,4,6,12,20,12,14,0,5,8,14,2,4,5,15,6,4,11,10,5,3,3,15,4,9,6,9,4,4,3,5,2,1,5,17,3,6,8,6,1,1,1,7,8,8,1,3,6,0,6,8,3,5,3,4,4,5,5,3,7,9,13,3,13,2,1,5,7,3,3,7,0,7,10,9,4,4,8,6,5,9,6,2,6,9,3,8,4,0,10,8,2,4,3,2,6,10,3,4,5,7,3,4,7,3,7,3,2,3,6,7,5,2,2,11,3,13,1,10,5,4,2,6,5,7,9,2,2,3,5,2,2,5,6,6,4,12,7,3,4,3,10,4,15,11,36,8,4,6,8,7,7,8,2,6,1,6,6,2,3,3,9,5,5,10,20,4,9,7,6,7,8,6,10,14,7,3,7,9,4,13,4,8,6,9,7,8,11,9,16,9,10,8,9,13,8,7,8,6,5,10,6,10,7,9,17,10,10,11,10,13,8,10,10,12,12,8,4,7,9,10,4,5,5,7,4,4,12,5,5,3,3,4,3,6,8,7,7,15,12,12,11,8,10,10,9,10,9,10,7
支那_zh.wikipedia.org_all-access_spider,7,11,17,17,6,5,5,6,5,4,6,9,15,13,13,21,17,12,8,22,5,9,6,8,11,7,9,6,24,3,0,4,4,3,7,4,52,4,3,6,9,22,13,3,3,19,9,6,8,5,3,11,4,6,6,5,5,10,9,4,11,8,5,6,17,6,9,7,3,9,7,5,14,6,6,9,7,17,61,7,11,10,13,9,11,11,7,17,14,14,6,3,9,78,7,11,16,12,11,11,61,10,21,7,6,9,13,13,7,14,8,10,17,7,9,10,9,10,6,10,10,4,10,2,12,8,11,10,9,21,10,9,12,13,8,12,7,44,22,5,10,11,9,8,21,7,10,15,14,25,9,9,11,8,18,10,62,16,25,6,11,12,14,6,14,5,8,12,25,8,8,9,11,8,5,10,6,11,6,8,18,16,8,8,23,11,22,8,6,8,17,6,9,8,5,38,10,23,25,36,19,30,19,26,21,63,23,13,12,8,18,12,21,4,18,13,12,10,18,12,10,12,15,24,12,8,13,10,10,233,301,180,33,5,21,12,18,14,14,13,19,11,8,14,29,8,13,20,15,22,23,13,9,12
莫蓮娜·芭卡琳_zh.wikipedia.org_all-access_spider,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,3,1,0,2,2,3,1,0,0,0,3,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,1,2,0,0,1,1,1,3,2,0,1,1,0,2,1,5,1,2,0,3,2,0,2,0,1,1,2,4,0,1,1,1,1,2,3,0,1,3,0,0,1,1,0,0,0,2
神鬼認證：最後通牒_zh.wikipedia.org_all-access_spider,4,9,8,6,4,3,8,7,27,22,19,2,5,13,2,3,5,6,6,3,6,15,3,5,18,3,3,4,20,3,3,3,6,2,6,5,7,2,1,0,5,7,2,9,5,2,1,4,6,1,3,3,2,2,3,3,2,6,7,4,3,3,6,7,5,4,4,2,10,6,2,8,3,4,4,4,4,5,2,7,4,3,4,10,3,7,4,8,5,5,11,4,11,10,5,4,4,4,4,7,7,9,3,0,4,3,5,6,4,6,3,5,2,3,6,7,6,6,6,4,3,7,8,7,1,6,9,4,6,5,11,1,3,4,5,3,5,6,4,3,2,6,5,4,4,2,6,4,8,5,1,4,5,7,5,6,5,6,3,9,9,1,6,3,11,10,3,2,3,9,12,6,5,4,8,1,4,9,6,4,5,7,10,7,3,4,5,5,5,12,6,53,6,9,3,5,9,9,6,3,5,2,7,4,6,3,5,7,7,4,4,5,2,5,11,6,3,6,3,9,2,1,2,3,12,7,7,4,3,10,6,4,7,3,23,8,7,6,8,16,12,15,7,10,12,10,22,10,16,18,16,13,15,10
合宜住宅_zh.wikipedia.org_all-access_spider,4,15,5,7,6,1,4,7,8,7,2,3,5,3,3,7,8,2,7,2,4,8,13,9,6,3,3,3,3,5,5,2,3,1,3,3,2,3,3,6,3,6,1,0,2,2,6,3,1,3,1,2,3,2,2,2,1,1,6,2,3,6,0,5,4,5,5,5,1,2,1,2,3,8,4,2,4,1,6,1,6,0,7,10,17,2,5,4,3,3,4,2,3,9,3,7,2,2,8,5,5,5,3,1,10,4,4,2,5,8,3,6,2,4,6,4,4,3,7,4,4,1,10,1,2,3,3,7,4,6,6,1,8,4,0,5,3,1,5,1,3,3,2,6,7,1,4,1,5,2,5,6,5,6,2,2,7,3,8,10,4,1,5,8,4,7,9,1,2,7,4,9,1,3,4,5,1,6,5,0,4,7,9,3,1465,187,54,10,16,9,6,2,13,5,6,5,7,5,7,5,4,2,2,2,3,7,1,2,3,13,5,6,2,5,6,7,11,8,1,3,5,6,10,7,7,4,9,10,16,7,7,7,4,14,14,10,3,10,12,8,7,9,6,7,3,6,4,11,4,8,2,5,7,9
中国历史_zh.wikipedia.org_all-access_spider,37,39,38,64,28,21,44,94,83,46,79,144,82,37,48,100,60,59,120,133,26,19,22,21,21,14,12,56,47,13,18,19,16,18,27,24,15,18,19,18,15,19,13,14,20,29,23,22,26,25,16,24,24,27,19,65,13,12,32,12,16,18,12,25,19,18,19,22,13,26,11,7,30,18,12,13,19,36,28,41,108,37,30,29,30,30,60,40,47,38,33,20,30,30,41,45,31,32,16,20,29,52,28,30,44,28,29,26,21,28,23,25,28,18,27,27,27,21,32,44,61,21,34,42,48,19,27,32,39,41,32,24,30,25,19,23,25,31,21,11,22,41,34,34,33,39,26,29,40,30,44,23,28,24,50,34,23,32,35,21,19,34,53,65,57,65,27,25,43,57,53,41,29,28,33,58,54,37,32,44,46,36,48,46,39,38,32,31,29,54,51,53,29,39,84,52,50,42,28,37,36,37,77,59,64,55,27,23,24,31,38,69,44,42,40,32,44,46,35,29,33,27,38,27,40,24,42,66,64,19,19,60,65,52,34,27,30,39,25,41,54,58,54,42,38,22,23,44,63,74,70,39,40,23
喜歡·一個人_zh.wikipedia.org_all-access_spider,25,11,64,49,7,16,30,55,21,12,34,9,11,17,12,13,5,13,25,46,14,21,15,7,12,6,3,4,13,3,6,3,8,9,7,15,4,19,2,5,4,11,8,4,7,9,7,7,8,32,6,4,5,7,7,42,7,44,13,11,11,4,6,7,4,26,7,6,10,6,10,8,4,8,3,3,6,9,10,7,14,21,6,16,8,8,8,11,8,3,8,12,10,8,7,7,11,18,13,8,7,13,5,5,11,5,6,6,8,18,7,37,19,5,12,12,10,11,7,8,8,8,8,9,4,10,16,7,9,8,16,5,4,6,4,12,8,5,8,7,10,7,2,7,10,7,9,6,9,6,11,8,4,6,9,8,7,13,5,9,5,6,19,7,14,9,5,8,21,8,10,10,9,9,7,9,16,13,13,8,9,11,11,7,9,13,8,13,6,7,10,13,7,8,6,7,13,21,9,2,11,10,11,8,15,7,10,22,8,7,79,16,15,10,13,15,20,18,8,8,8,6,2,9,16,24,10,13,7,15,9,10,11,5,4,7,17,17,9,11,7,17,14,17,10,13,8,12,13,10,11,5,12,6
賓漢_zh.wikipedia.org_all-access_spider,2,2,4,3,4,4,5,6,3,10,2,2,5,3,4,3,2,5,5,1,2,11,5,0,3,1,4,6,8,4,1,4,4,7,3,3,2,1,4,4,4,5,3,3,5,1,4,10,8,1,4,1,8,2,5,4,1,7,6,0,2,4,6,8,5,3,4,7,4,6,5,6,0,5,8,1,6,8,7,4,6,2,2,7,3,6,2,7,12,3,1,1,5,6,8,0,6,6,1,3,6,12,1,4,4,2,5,1,6,5,1,3,4,6,6,7,2,4,4,10,6,4,4,5,4,4,8,3,7,5,3,4,8,3,7,10,2,2,7,5,6,6,5,3,7,0,3,4,3,6,3,7,4,6,9,1,2,6,2,5,18,3,7,3,9,3,6,3,9,4,5,9,3,5,9,2,4,7,7,3,5,12,6,3,4,8,6,9,7,3,5,4,3,5,10,8,3,2,8,5,9,7,3,3,8,2,7,10,4,7,5,9,10,5,5,3,10,4,4,4,6,7,7,9,5,10,4,5,5,5,3,3,9,2,5,5,6,8,3,4,9,4,10,20,5,5,6,2,11,12,13,10,7,5
麻生希_zh.wikipedia.org_all-access_spider,7,5,3,7,6,6,3,4,12,11,5,8,11,11,8,3,4,12,5,2,6,7,13,8,9,2,1,5,11,4,2,8,6,14,7,2,4,5,8,3,6,5,4,5,4,3,3,3,3,1,0,4,3,4,4,4,9,4,6,3,9,6,5,5,10,3,13,5,6,5,9,0,4,8,2,7,7,8,13,10,11,9,8,10,11,9,6,10,20,5,8,9,25,16,15,16,18,5,14,8,6,7,11,3,9,12,19,7,4,8,16,11,7,10,12,14,22,17,10,6,9,12,7,7,11,13,9,8,10,6,20,7,13,9,14,10,11,19,13,14,7,11,13,11,19,12,7,14,11,19,14,17,5,20,33,10,16,12,30,11,7,16,25,17,20,11,21,10,12,13,11,18,13,35,14,16,8,13,15,12,16,15,23,20,29,39,51,25,13,21,22,23,27,24,13,20,17,15,15,25,21,11,14,15,19,15,32,9,15,25,22,19,20,15,21,26,16,14,17,8,11,15,13,10,11,11,8,11,17,14,19,19,15,8,14,11,19,11,10,5,18,19,16,7,10,18,14,14,13,11,15,9,9,8
哆啦A夢_zh.wikipedia.org_all-access_spider,18,7,9,13,19,5,9,12,16,26,15,8,23,9,100,18,14,11,12,19,12,16,16,15,10,10,16,32,22,8,10,14,7,8,9,9,10,8,12,6,13,10,5,4,10,10,23,9,13,17,12,6,54,8,9,6,12,5,10,4,8,12,6,24,39,30,20,8,10,6,13,5,8,17,35,14,15,9,11,10,13,27,14,72,18,18,14,22,30,17,11,15,15,14,16,15,17,18,19,10,12,18,11,16,21,16,15,8,21,18,27,34,23,9,8,22,16,6,27,13,15,12,16,14,10,15,20,11,26,23,11,37,9,14,11,19,13,14,21,6,12,12,15,17,20,16,17,17,18,20,15,17,13,8,16,13,14,17,17,36,64,14,18,23,18,17,14,108,17,20,21,15,27,38,11,20,25,17,32,21,34,13,16,17,13,15,16,15,18,41,28,21,19,17,31,16,58,35,68,40,40,68,13,18,31,26,26,31,21,26,20,51,24,24,24,13,16,28,12,14,17,15,11,11,10,11,42,48,27,19,20,23,42,42,9,18,14,20,31,31,37,46,44,34,52,25,11,35,35,44,41,26,33,22
曾沛慈_zh.wikipedia.org_all-access_spider,4,2,4,5,14,5,11,4,48,19,7,5,22,9,25,9,15,14,3,11,25,11,10,10,9,24,5,6,10,6,6,7,7,31,13,5,5,4,12,15,8,9,7,7,9,3,3,5,13,4,9,9,14,17,5,9,6,12,10,4,13,6,5,6,4,5,32,5,14,13,6,3,5,0,5,9,13,17,28,5,19,11,16,9,31,7,10,19,12,28,19,9,13,14,30,13,3,8,5,12,10,40,4,9,15,13,9,12,8,4,7,18,10,16,6,11,8,5,6,9,4,6,7,4,59,4,42,18,40,26,12,16,7,5,5,4,5,5,12,7,7,33,19,27,15,4,14,28,21,8,45,18,8,23,13,9,8,11,6,9,3,6,11,34,22,40,5,6,21,12,13,17,9,17,12,39,21,18,16,43,17,7,19,59,9,21,3,13,23,41,22,7,11,20,23,9,6,15,23,16,10,62,14,18,26,26,20,22,16,12,14,53,26,39,20,12,18,33,17,6,15,16,10,5,19,19,10,19,7,6,15,20,16,19,22,14,32,16,12,8,16,15,18,18,28,18,15,20,11,14,45,13,17,6
張晉婷_zh.wikipedia.org_all-access_spider,26,1,3,1,1,2,4,3,17,18,29,3,1,1,0,0,4,1,5,1,3,16,4,2,1,3,1,1,7,4,1,3,2,1,4,0,3,1,0,3,6,4,3,3,7,3,3,5,3,2,1,5,0,6,6,1,14,1,6,23,3,3,5,2,7,4,2,1,6,8,5,3,6,0,0,3,1,4,1,3,11,5,5,6,3,2,5,6,1,3,2,1,2,1,1,1,1,2,3,2,3,10,4,9,2,1,5,3,1,7,0,1,2,0,4,0,2,0,8,3,3,1,0,2,7,0,3,7,1,0,5,2,8,2,3,1,0,3,1,1,9,3,4,0,2,4,7,1,3,5,5,201,5,2,2,3,6,3,8,2,2,3,2,2,6,3,3,2,4,2,5,3,7,2,0,1,12,3,12,4,6,2,0,1,3,1,5,2,1,8,1,4,3,9,8,1,2,4,10,9,0,6,3,5,6,2,1,1,9,9,4,1,4,6,6,4,5,3,4,4,3,5,3,10,7,7,5,1,1,3,6,3,3,5,1,12,1,2,2,4,2,5,5,3,4,3,2,3,3,8,7,0,2,1
乔治·索罗斯_zh.wikipedia.org_all-access_spider,17,3,6,13,11,6,6,17,5,61,47,9,18,16,6,20,25,10,4,5,2,17,5,4,5,2,7,8,8,2,12,5,9,7,4,7,0,5,4,9,4,6,3,8,4,3,12,5,7,8,2,6,9,9,10,12,9,5,9,7,5,4,7,8,9,7,6,7,11,7,7,5,3,4,10,6,14,5,11,9,10,9,14,12,7,4,7,6,3,5,7,7,8,8,6,6,11,6,13,12,21,7,4,10,9,14,6,8,9,7,7,8,4,4,7,7,7,7,3,9,8,8,13,5,14,6,4,11,14,6,5,5,5,3,10,6,3,12,5,6,5,7,7,9,11,11,8,11,11,8,9,15,3,6,10,18,14,13,2,6,3,7,7,13,4,7,3,16,6,4,13,10,7,11,6,9,4,10,13,3,4,5,13,8,14,5,12,6,6,10,18,17,10,9,13,10,10,12,19,19,8,9,9,12,17,10,7,36,43,60,79,66,58,39,47,19,14,14,16,8,9,11,6,9,14,11,8,9,9,8,14,16,13,15,15,8,14,7,17,16,17,14,16,9,14,17,10,12,19,15,11,13,8,10
斯德哥爾摩症候群_zh.wikipedia.org_all-access_spider,4,5,10,4,8,7,2,11,9,5,3,4,4,4,7,6,8,17,4,3,3,11,17,3,11,3,0,9,15,6,4,6,4,11,8,9,7,8,7,9,11,6,7,10,8,8,13,10,52,73,6,4,6,8,9,2,4,8,11,8,11,28,9,10,20,8,11,7,5,7,7,12,6,5,5,3,5,14,14,11,12,16,13,17,14,5,15,14,11,7,17,6,16,10,9,9,10,6,14,7,5,6,10,10,3,10,6,8,8,8,20,10,2,10,10,6,5,10,8,15,25,6,8,12,12,11,7,17,7,13,15,13,8,4,13,14,2,7,18,6,11,9,12,8,100,10,9,13,17,18,28,19,18,10,17,5,15,8,11,22,7,8,19,9,15,14,51,10,21,7,20,6,12,16,27,168,18,16,16,12,20,18,10,7,16,21,17,31,15,14,20,14,12,22,24,15,17,27,15,17,18,19,17,19,15,11,17,13,25,13,13,23,18,14,25,17,25,12,19,21,14,19,15,36,18,12,5,10,11,12,12,34,16,12,17,6,18,19,24,19,19,16,24,26,9,15,23,12,24,18,13,17,16,15
終極系列_zh.wikipedia.org_all-access_spider,3,1,22,16,27,14,53,12,28,9,8,29,21,31,33,22,23,9,7,1,47,24,13,2,14,9,12,5,171,8,2,2,5,4,14,9,5,2,2,5,1,3,3,5,4,9,4,7,10,1,4,10,30,2,7,4,20,15,4,62,16,12,4,5,2,11,9,6,5,4,4,13,5,0,7,4,5,11,5,8,10,5,10,9,12,5,8,4,16,7,5,17,7,10,7,6,9,7,16,7,20,31,3,4,8,4,4,4,5,3,4,23,15,1,5,221,23,3,8,3,8,70,5,8,43,14,3,7,14,6,155,6,2,2,11,9,15,94,4,6,9,7,3,8,11,5,8,7,14,6,5,5,6,9,6,45,2,11,6,8,4,4,11,6,21,12,8,5,15,3,6,8,19,13,4,7,8,9,20,6,5,9,15,15,28,7,8,8,6,16,5,11,8,6,10,3,8,12,8,7,10,2,4,6,49,19,4,5,10,17,21,15,3,6,29,11,5,7,6,9,7,6,4,6,7,13,6,5,5,11,4,12,12,5,30,4,7,7,9,9,19,18,9,13,8,15,7,7,16,7,9,2,4,4
和平紀念日_(臺灣)_zh.wikipedia.org_all-access_spider,1,1,3,2,4,6,4,1,4,4,0,0,4,10,7,6,9,5,1,8,1,10,4,3,3,6,2,10,7,3,5,2,5,2,0,4,4,2,4,0,4,2,2,3,1,2,2,7,2,3,8,9,3,4,4,5,2,3,3,4,1,3,2,1,3,2,1,1,3,17,3,4,5,6,2,2,6,3,5,2,3,5,4,4,1,6,3,4,3,2,4,3,10,3,2,9,2,6,1,3,3,7,2,5,4,1,12,3,3,3,3,2,2,5,3,4,2,2,5,4,9,9,6,3,6,5,3,5,2,3,3,1,2,1,4,5,1,6,7,2,1,4,3,10,8,2,2,2,3,4,9,4,5,6,3,3,5,10,7,9,4,2,1,7,5,6,15,7,1,4,5,3,3,1,6,8,3,10,4,5,6,4,4,11,2,13,5,2,7,3,5,4,0,12,6,6,5,9,4,5,11,6,3,5,6,5,4,7,5,1,5,11,9,5,5,2,3,5,4,0,5,5,2,8,3,4,5,5,1,4,4,8,11,3,5,9,8,13,11,16,13,16,127,51,20,12,7,8,6,4,9,4,5,4
白蟻_zh.wikipedia.org_all-access_spider,2,8,8,9,11,3,2,10,7,8,5,6,6,8,6,5,11,6,6,14,10,10,13,5,10,2,2,9,8,4,2,3,6,4,10,7,5,7,4,7,8,3,6,5,5,3,3,6,6,3,2,6,4,3,6,7,5,2,3,6,7,4,5,8,2,5,10,7,1,6,5,5,15,5,15,4,6,3,3,10,12,7,2,6,5,4,11,15,9,9,12,4,3,8,11,5,7,6,8,8,5,8,5,10,4,4,11,11,5,4,8,4,6,5,3,8,11,9,14,12,3,6,4,11,9,7,6,4,6,12,4,8,5,4,6,3,8,5,10,5,7,14,6,3,9,6,4,7,13,8,6,5,6,4,8,6,7,20,8,4,11,5,6,6,8,3,5,8,5,8,9,8,3,14,5,26,3,16,21,4,5,16,4,11,8,11,7,5,9,11,7,12,8,20,6,8,9,38,6,13,12,5,6,11,16,8,6,13,8,12,13,14,8,10,6,9,9,14,18,18,12,3,2,5,10,2,5,5,9,4,5,6,8,14,9,5,7,3,4,5,10,7,7,7,5,9,9,10,10,10,8,12,10,4
辽沈战役_zh.wikipedia.org_all-access_spider,4,18,9,14,16,20,4,11,17,3,3,123,54,234,125,20,41,22,24,14,13,12,13,2,91,4,6,4,14,3,7,3,11,5,14,45,11,7,8,14,5,8,7,5,3,10,2,7,12,6,9,2,3,4,11,6,7,6,19,13,5,20,10,5,20,13,5,5,9,5,45,2,5,4,8,7,10,8,8,7,10,7,6,7,7,5,7,6,12,16,10,7,12,11,8,7,7,7,13,5,4,7,5,7,6,3,17,7,12,9,35,9,9,8,6,9,4,1,8,16,5,2,7,6,12,13,6,2,7,10,7,11,6,8,3,5,17,12,8,3,18,12,14,12,15,18,4,11,11,12,9,7,6,6,6,9,10,10,6,11,11,8,14,8,9,11,6,12,20,8,12,5,6,4,9,9,5,9,7,7,5,4,7,4,3,8,6,6,6,11,8,12,13,6,7,8,13,5,13,4,8,9,8,10,8,5,9,13,9,5,8,13,8,13,12,23,5,9,8,11,11,2,20,7,6,10,5,4,6,5,6,9,5,9,12,5,7,10,12,7,9,16,16,15,3,9,11,10,75,10,10,8,6,5
Signal_(電視劇)_zh.wikipedia.org_all-access_spider,0,0,0,1,0,2,0,1,2,8,15,2,2,3,6,6,4,2,1,1,2,44,14,4,5,4,4,2,3,2,4,1,1,2,2,1,0,1,3,2,2,1,3,1,1,6,1,1,1,2,61,6,3,1,0,0,0,2,3,0,0,3,0,0,1,1,2,3,0,5,3,2,0,2,3,3,3,2,2,3,0,1,9,1,11,0,3,1,2,0,1,3,1,2,10,2,3,1,0,1,0,1,10,0,0,0,4,5,0,2,3,1,3,0,0,9,3,1,9,2,1,0,1,3,0,3,2,1,0,5,24,3,3,0,17,5,0,0,1,1,5,4,2,3,1,1,0,1,2,1,2,3,36,49,15,1,1,2,6,3,4,2,4,4,13,1,1,3,3,0,2,4,2,1,3,20,4,2,4,1,0,2,11,17,15,11,0,3,1,24,11,2,13,5,5,5,6,3,4,135,24,7,4,4,6,13,62,47,17,9,43,9,14,47,44,9,18,12,9,12,31,25,10,7,16,24,69,28,38,6,8,11,45,19,30,39,58,28,33,23,15,70,17,70,51,126,16,34,85,65,30,24,23,15
鄭秀妍_zh.wikipedia.org_all-access_spider,27,14,13,20,15,17,15,21,29,28,31,4,32,20,18,38,3,11,2,7,5,9,5,8,31,22,7,7,19,12,18,19,8,95,12,19,117,46,50,11,6,26,3,33,8,18,8,6,12,6,2,4,9,18,7,25,9,4,18,18,20,4,5,7,27,7,11,11,3,9,19,5,34,6,12,4,10,28,12,8,15,5,12,16,15,9,12,255,11,46,31,62,7,20,3,11,8,9,9,16,6,8,13,3,7,7,7,9,26,9,9,4,9,52,9,30,9,8,14,10,5,27,23,7,10,20,25,15,9,3,3,1,3,4,6,15,9,127,7,43,8,9,8,10,9,8,11,16,23,9,9,8,4,9,109,3,15,20,11,14,4,4,14,13,16,34,50,13,8,41,12,11,14,5,8,16,62,10,11,29,17,13,8,8,28,12,10,21,8,13,13,11,6,19,10,11,17,13,12,12,18,10,19,12,12,14,10,18,17,8,27,21,15,19,53,24,32,16,18,14,12,8,24,94,26,10,3,11,15,7,27,22,10,10,17,6,27,10,18,11,16,22,38,66,89,36,24,22,12,12,20,8,12,10
吳尊_zh.wikipedia.org_all-access_spider,36,8,2,15,20,6,4,3,20,2,2,8,13,13,2,6,4,4,12,7,8,9,8,7,8,5,7,7,13,3,6,1,8,5,5,30,3,1,4,5,6,5,5,17,6,4,7,5,7,4,4,9,4,5,5,5,6,12,13,1,7,0,3,12,3,20,5,6,6,6,7,5,6,5,5,6,7,6,5,6,10,10,7,8,9,2,9,11,22,8,11,5,7,6,10,3,10,22,141,8,7,9,0,5,6,7,4,6,9,5,5,4,8,4,7,12,16,2,6,3,49,7,8,10,5,8,25,7,9,3,7,2,16,12,3,5,11,8,6,10,8,10,9,8,7,7,17,4,7,13,9,10,5,13,6,7,11,10,20,5,62,8,10,9,5,11,2,10,13,9,27,7,10,14,14,5,12,5,7,9,10,5,9,8,6,5,8,9,5,6,7,10,10,6,4,12,14,10,9,6,11,7,14,14,10,8,8,5,22,15,51,11,10,6,24,9,10,10,5,10,8,2,6,8,20,9,6,6,4,6,7,10,9,6,17,11,13,14,11,9,17,10,15,8,6,7,162,11,2,9,12,14,4,4
遇见爱情的利先生_zh.wikipedia.org_all-access_spider,2,2,6,6,12,1,5,6,10,18,19,10,10,9,17,6,6,6,7,1,7,10,7,2,9,8,2,6,12,4,7,2,5,3,2,2,5,1,4,6,1,5,4,4,3,0,6,4,3,0,3,3,3,6,3,1,13,3,2,3,4,2,4,11,0,1,4,5,3,4,6,2,2,3,3,0,7,7,6,6,5,6,10,3,2,4,6,3,11,3,4,6,3,3,5,5,1,3,7,3,8,9,5,7,4,6,4,3,12,9,6,18,9,4,8,4,7,1,9,4,2,7,5,5,2,7,4,5,5,4,13,5,2,3,6,6,3,4,4,3,2,8,4,2,3,4,6,6,3,3,5,2,3,7,3,6,6,5,5,8,1,3,4,3,2,2,9,4,2,6,5,5,4,6,5,1,5,8,5,13,8,1,3,5,7,5,7,5,0,11,2,24,4,9,10,5,4,9,5,8,7,3,9,4,6,7,7,6,6,6,6,9,9,8,8,5,5,7,4,3,5,1,8,5,5,2,4,3,3,1,7,10,5,5,5,2,5,5,2,2,4,6,5,1,7,5,6,5,5,8,7,2,2,2
